0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:44 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /selfstudyORtest/tetris.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [09/Sep/2023:11:52:45 +0900] "GET /resources/blockimages/0.png HTTP/1.1" 404 842
